feature,importance
price_to_ma_200,269.0257838834077
ma_100_slope,152.48074102401733
ma_200_slope,64.32449913024902
prev_high,59.71816712617874
ma_50,46.43259906768799
obv,45.32029811758548
return_60,44.22095012664795
ema_12,42.45813989639282
trend_strength_50,31.75155372917652
stoch_14,22.0448806732893
macd,21.94879913330078
bb_width_50,19.880579948425293
bb_lower_20,15.501700401306152
volatility_30,15.24059009552002
minute,14.772500038146973
trend_strength_20,12.881099700927734
bb_width_20,12.123729944229126
volume_sma_10,11.573100090026855
ma_20,9.474550746730529
candle_size_2,5.893079996109009
volume_change_30,5.20920991897583
return_1,4.672490119934082
return_30,4.39939022064209
return_10,3.726680040359497
high_low_ratio_5,3.582969903945923
rsi_28,2.156354092992842
volume_trend,2.0398499965667725
close_position_10,0.6775749921798706
volume_change_10,0.6158750057220459
bb_upper_20,0.4150719940662384
prev_close,0.3216384031693451
upper_shadow,0.18969400227069855
price_to_ma_100,0.09605830162763596
body_size,0.0
obv_signal,0.0
lower_shadow,0.0
volatility_10,0.0
obv_ema,0.0
volatility_ratio_10,0.0
volume_ratio,0.0
high_low_ratio_10,0.0
volume_sma_50,0.0
trend_strength_10,0.0
close_position_5,0.0
body_position,0.0
day_of_week,0.0
high_low_ratio_3,0.0
dow_cos,0.0
dow_sin,0.0
hour_cos,0.0
hour_sin,0.0
day_of_month,0.0
close_position_3,0.0
candle_direction_1,0.0
hour,0.0
atr_ratio_28,0.0
candle_size_3,0.0
candle_direction_3,0.0
candle_direction_2,0.0
candle_size_1,0.0
prev_open,0.0
bb_lower_50,0.0
atr_28,0.0
volume_change_5,0.0
ma_10,0.0
ma_5_slope,0.0
price_to_ma_5,0.0
ma_5,0.0
volume_change_60,0.0
volume_change_15,0.0
return_15,0.0
return_5,0.0
ma_10_slope,0.0
volume_change_3,0.0
return_3,0.0
volume_change_2,0.0
return_2,0.0
volume_change_1,0.0
prev_volume,0.0
prev_low,0.0
price_to_ma_10,0.0
price_to_ma_20,0.0
atr_ratio_14,0.0
price_to_ema_50,0.0
atr_14,0.0
macd_histogram,0.0
macd_signal,0.0
rsi_14,0.0
bb_position_50,0.0
bb_upper_50,0.0
bb_position_20,0.0
ema_50,0.0
ma_20_slope,0.0
price_to_ema_26,0.0
ema_26,0.0
price_to_ema_12,0.0
ma_200,0.0
ma_100,0.0
ma_50_slope,0.0
price_to_ma_50,0.0
volatility_ratio_30,0.0
